"nome","uf","%homem_ver","%branco_ver","%homem_pop","%branco_pop"
"Pindoba","AL",66.7,66.7,49.55,30.53
"Presidente Bernardes","MG",77.8,88.9,50.21,52.74
"Canutama","AM",66.7,55.6,53.95,19.45
"Dias d'Ávila","BA",73.3,53.3,49.39,17.15
"Ouro Verde","SC",66.7,100,50.64,63.89
"Bananal","SP",77.8,88.9,49.41,52.82
"Bom Jesus do Sul","PR",66.7,100,51.87,63.94
"Cássia","MG",88.9,100,50.54,63.95
"Inajá","PR",77.8,77.8,51.14,41.77
"Martinópole","CE",77.8,55.6,49.93,19.59
"Conceição do Castelo","ES",100,88.9,50.83,52.91
"São Miguel do Passa Quatro","GO",77.8,88.9,51.74,52.91
"Ivaiporã","PR",88.9,100,48.47,64.01
"Abelardo Luz","SC",72.7,100,50.46,64.03
"Doutor Ulysses","PR",88.9,100,52.03,64.17
"Ribeirão Corrente","SP",88.9,88.9,51.91,53.08
"Trajano de Moraes","RJ",77.8,88.9,51.1,53.1
"Guaraí","TO",90.9,63.6,50.38,27.8
"Gado Bravo","PB",66.7,77.8,49.34,42.06
"Glicério","SP",100,100,50.14,64.27
"Ipupiara","BA",88.9,88.9,51.06,53.19
"Matinhas","PB",77.8,66.7,49.78,30.99
"Heitoraí","GO",77.8,77.8,51.25,42.09
"Várzea do Poço","BA",77.8,66.7,50.28,31.01
"Faria Lemos","MG",100,77.8,50.77,42.12
"Apuarema","BA",77.8,55.6,50.86,19.94
"Santo Expedito","SP",100,88.9,50.05,53.26
"Pinhão","PR",84.6,92.3,50.25,56.67
"Feira Nova","PE",72.7,72.7,48.48,37.08
"Itapecerica","MG",100,100,49.6,64.39
"São José do Belmonte","PE",100,61.5,49.79,25.89
"Espera Feliz","MG",100,90.9,50.33,55.3
